Time(s),CH1(V)
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,2.171860E-02
1.1594E+01,2.171860E-02
1.1594E+01,1.737488E-02
1.1594E+01,2.171860E-02
1.1594E+01,2.171860E-02
1.1594E+01,2.171860E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,1.737488E-02
1.1594E+01,2.171860E-02
1.1594E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,1.737488E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,2.171860E-02
1.1595E+01,1.737488E-02
1.1595E+01,2.171860E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,1.737488E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
1.1595E+01,2.171860E-02
